user,day,logon_count,device_count,file_count,email_count,http_count
AAE0190,2010-01-04,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-05,2,0.0,0.0,13.0,143.0
AAE0190,2010-01-06,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-07,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-08,2,0.0,0.0,13.0,143.0
AAE0190,2010-01-11,2,0.0,0.0,13.0,143.0
AAE0190,2010-01-12,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-13,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-14,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-15,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-18,2,0.0,0.0,10.0,143.0
AAE0190,2010-01-19,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-20,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-21,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-22,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-25,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-26,2,0.0,0.0,13.0,143.0
AAE0190,2010-01-27,2,0.0,0.0,13.0,143.0
AAE0190,2010-01-28,2,0.0,0.0,14.0,143.0
AAE0190,2010-01-29,2,0.0,0.0,13.0,143.0
AAE0190,2010-02-01,2,0.0,0.0,13.0,143.0
AAE0190,2010-02-02,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-03,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-04,2,0.0,0.0,13.0,143.0
AAE0190,2010-02-05,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-08,2,0.0,0.0,12.0,143.0
AAE0190,2010-02-09,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-10,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-11,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-12,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-15,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-16,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-17,2,0.0,0.0,13.0,143.0
AAE0190,2010-02-18,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-19,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-22,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-23,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-24,2,0.0,0.0,14.0,143.0
AAE0190,2010-02-25,2,0.0,0.0,13.0,143.0
AAE0190,2010-02-26,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-01,2,0.0,0.0,13.0,143.0
AAE0190,2010-03-02,2,0.0,0.0,13.0,143.0
AAE0190,2010-03-03,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-04,2,0.0,0.0,13.0,143.0
AAE0190,2010-03-05,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-08,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-09,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-10,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-11,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-12,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-15,2,0.0,0.0,12.0,143.0
AAE0190,2010-03-16,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-17,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-18,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-19,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-22,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-23,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-24,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-25,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-26,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-29,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-30,2,0.0,0.0,14.0,143.0
AAE0190,2010-03-31,2,0.0,0.0,13.0,143.0
AAE0190,2010-04-01,2,0.0,0.0,13.0,143.0
AAE0190,2010-04-05,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-06,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-07,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-08,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-09,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-12,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-13,2,0.0,0.0,13.0,143.0
AAE0190,2010-04-14,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-15,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-16,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-19,2,0.0,0.0,14.0,143.0
AAE0190,2010-04-20,2,0.0,0.0,14.0,143.0
